item,classification
"गेहूं के आटे में मूली की रोटी (बारीक कटे हुए मूली के पत्ते के साथ) की रोटी (बनाते हुए नमक को एक एक रोटी कर के डालना, वरना मूली पानी छोड़ देती है), (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
"गोभी की रोटी, (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
"मेथी की रोटी, गेहूँ के आटे में (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
"आलू बथुआ की रोटी (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"बाजरा का पराठा (बनने की विधि: https://www.youtube.com/watch?v=HkmT1t3bMY0) (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
"मटर की रोटी, (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
"मक्की के आटे में मूली और मेथी  की रोटी (बारीक कटे हुए मूली के पत्ते के साथ) (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।) (विधि: https://www.youtube.com/watch?v=M_tlU1ZfWf4&feature=shared)",light
"चने उड़द दाल के पकौड़े (गुड़, छाछ, त्रिकटु साथ देना।) साथ में अमरूद की चटनी। (पकौड़े बनाने की विधि: https://www.youtube.com/watch?v=nZzSfUi_isg) (अमरूद की चटनी बनाने की विधि: https://www.youtube.com/watch?v=-xsL-HVbBOY&feature=shared)",heavy
उपमा सांभर और नारियल की चटनी,light
"छोले, आलू, मेथी की पूरी (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"छोले, आलू टमाटर की सब्जी, उड़द दाल की पीठी वाली कचौड़ी (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"पूरण पोली (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।) (विधि: https://www.youtube.com/watch?v=oTl_DYNAP0o)",heavy
चना दाल वड़ा और *सूखे* नारियल की चटनी (विधि: https://www.youtube.com/watch?v=7pkH4xg98iQ),heavy
"मेथी की रोटी, मक्की के आटे में (पूरे आटे में एक आलू डाल लें। इससे रोटी नरम हो जाती है), (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"दाल बाटी चूरमा (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"सरसों का साग, मक्की की रोटी, (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",light
धुली उड़द दाल - गेहूँ रोटी और चकुंदर का रायता,heavy
माँ (खड़ी) उड़द दाल - दाल बुखारा - गेहूं रोटी,heavy
पालक-चने की दाल और गेहू रोटी और बथुआ का रायता,light
"गंगा जमुना दाल (छिलके वाली उड़द की दाल 75% और चना दाल कम रहेगी का मिश्रण 25%, अदरक प्याज़ का तड़का) (ज़्यादा उबालनी होती है यह दाल)और गेहू रोटी",heavy
"कद्दू की सब्ज़ी और गेहू का पराठा, और बथुआ का रायता",light
उड़द दाल की बाड़ियाँ और आलू की सब्जी और गेहू की रोटी,heavy
आलू मेथी की सब्जी और मक्की की रोटी और चकुंदर का रायता,heavy
सरसों का साग और मक्के की रोटी,light
"आलू, गोभी, मटर, गाजर, की मिक्स सब्ज़ी और रोटी",heavy
"तुअर दाल और गेहू की रोटी, और बथुआ का रायता",light
कुलथी की दाल और चावल,heavy
"छोले और कुलचे, और बथुआ का रायता",heavy
तहरी और बथुआ का रायता,light
छोले और चावल और चकुंदर का रायता,heavy
छोले और गेहू का पराठा,heavy
मूली के पत्ते और आलू की सब्जी और गेहू की रोटी और बथुआ का रायता,heavy
"चोखा (बैंगन का भर्ता),दाल और बाटी चूरमा (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
"मेथी मटर मसाला और गेहू का पराठा, और बथुआ का रायता",light
काजू बादाम की सब्जी और गेहू का पराठा,heavy
मीठे चावल (गन्ने के रस में) और सादा दही,heavy
पालक कॉर्न (विधि: https://www.youtube.com/watch?v=kCk_XWXsTJs&feature=shared) और रोटी,light
"बाजरे की खिचड़ी (बाजरा रात को भिगो दें) (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।) (विधि: https://www.youtube.com/watch?v=oB3cVpEVd5g&feature=shared)",light
"छिलके वाली उड़द दाल की खिचड़ी (केवल नमक डाल के) (गुड़, शहद, छाछ, मक्खन, त्रिकटु साथ देना।)",heavy
पोहे,light
दाल वाली रोटी (मूंग),light
जो के सत्तू की रोटी,light
चने के सत्तू की रोटी (बिना खटास के),light
आलू–प्याज की रोटी,heavy
उबले हुए मंगोड़े,light
"उपमा, नारियल की चटनी, मूंगफली की चटनी",light
बेसन का चीला,light
सूजी की इडली,light
मूंग दाल चिल्ला,light
मूंग दाल दहीवाले फरे (भाप में पकाएं),light
छाछ की सब्ज़ी चावल के साथ,light
मूंग दाल और चावल,light
मसूर दाल और चावल,light
अरहर दाल और चावल,light
काला चना और चावल,heavy
धुली मूंग दाल खिचड़ी,light
छिलके मूंग दाल खिचड़ी,light
साबुत मूंग दाल खिचड़ी,light
जो की रोटी और लौकी की सब्ज़ी,light
जो की रोटी और लौकी के कोफ्ते,light
जो की रोटी और लौकी का भरता,light
जो की रोटी और परवल की सब्ज़ी,light
जो की रोटी और भरवां परवल,light
जो की रोटी और परवल–आलू,light
जो की रोटी और परवल–मूंगदाल की सूखी सब्ज़ी,light
जो की रोटी और परवल की भुजिया,light
जो की रोटी और कद्दू की सब्ज़ी,light
जो की रोटी और भरवां करेला,light
जो की रोटी और करेला–भिंडी मिश्रित सब्ज़ी,light
जो की रोटी और करेले की भुजिया (प्याज सहित),light
जो की रोटी और भिंडी की सूखी सब्ज़ी,light
जो की रोटी और कुरकुरी भिंडी,light
जो की रोटी और कच्चे केले की सब्ज़ी,light
जो की रोटी और मूंग दाल,light
जो की रोटी और मसूर दाल,light
जो की रोटी और अरहर दाल,light
ज्वार की रोटी और लौकी की सब्ज़ी,light
ज्वार की रोटी और लौकी के कोफ्ते,light
ज्वार की रोटी और लौकी का भरता,light
ज्वार की रोटी और परवल की सब्ज़ी,light
ज्वार की रोटी और भरवां परवल,light
ज्वार की रोटी और परवल–आलू,light
ज्वार की रोटी और परवल–मूंगदाल की सूखी सब्ज़ी,light
ज्वार की रोटी और परवल की भुजिया,light
ज्वार की रोटी और कद्दू की सब्ज़ी,light
ज्वार की रोटी और भरवां करेला,light
ज्वार की रोटी और करेला–भिंडी मिश्रित सब्ज़ी,light
ज्वार की रोटी और करेले की भुजिया (प्याज सहित),light
ज्वार की रोटी और भिंडी की सूखी सब्ज़ी,light
ज्वार की रोटी और कुरकुरी भिंडी,light
ज्वार की रोटी और कच्चे केले की सब्ज़ी,light
ज्वार की रोटी और मूंग दाल,light
ज्वार की रोटी और मसूर दाल,light
ज्वार की रोटी और अरहर दाल,light
रागी की रोटी और लौकी की सब्ज़ी,light
रागी की रोटी और लौकी के कोफ्ते,light
रागी की रोटी और लौकी का भरता,light
रागी की रोटी और परवल की सब्ज़ी,light
रागी की रोटी और भरवां परवल,light
रागी की रोटी और परवल–आलू,light
रागी की रोटी और परवल–मूंगदाल की सूखी सब्ज़ी,light
रागी की रोटी और परवल की भुजिया,light
रागी की रोटी और कद्दू की सब्ज़ी,light
रागी की रोटी और भरवां करेला,light
रागी की रोटी और करेला–भिंडी मिश्रित सब्ज़ी,light
रागी की रोटी और करेले की भुजिया (प्याज सहित),light
रागी की रोटी और भिंडी की सूखी सब्ज़ी,light
रागी की रोटी और कुरकुरी भिंडी,light
रागी की रोटी और कच्चे केले की सब्ज़ी,light
रागी की रोटी और मूंग दाल,light
रागी की रोटी और मसूर दाल,light
रागी की रोटी और अरहर दाल,light
गेहू की रोटी और लौकी की सब्ज़ी,light
गेहू की रोटी और लौकी के कोफ्ते,light
गेहू की रोटी और लौकी का भरता,light
गेहू की रोटी और परवल की सब्ज़ी,light
गेहू की रोटी और भरवां परवल,light
गेहू की रोटी और परवल–आलू,light
गेहू की रोटी और परवल–मूंगदाल की सूखी सब्ज़ी,light
गेहू की रोटी और परवल की भुजिया,light
गेहू की रोटी और कद्दू की सब्ज़ी,light
गेहू की रोटी और भरवां करेला,light
गेहू की रोटी और करेला–भिंडी मिश्रित सब्ज़ी,light
गेहू की रोटी और करेले की भुजिया (प्याज सहित),light
गेहू की रोटी और भिंडी की सूखी सब्ज़ी,light
गेहू की रोटी और कुरकुरी भिंडी,light
गेहू की रोटी और कच्चे केले की सब्ज़ी,light
गेहू की रोटी और मूंग दाल,light
गेहू की रोटी और मसूर दाल,light
गेहू की रोटी और अरहर दाल,light
चने और जो की रोटी (मिस्सी रोटी) और लौकी की सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और लौकी के कोफ्ते,heavy
चने और जो की रोटी (मिस्सी रोटी) और लौकी का भरता,heavy
चने और जो की रोटी (मिस्सी रोटी) और परवल की सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और भरवां परवल,heavy
चने और जो की रोटी (मिस्सी रोटी) और परवल–आलू,heavy
चने और जो की रोटी (मिस्सी रोटी) और परवल–मूंगदाल की सूखी सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और परवल की भुजिया,heavy
चने और जो की रोटी (मिस्सी रोटी) और कद्दू की सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और भरवां करेला,heavy
चने और जो की रोटी (मिस्सी रोटी) और करेला–भिंडी मिश्रित सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और करेले की भुजिया (प्याज सहित),heavy
चने और जो की रोटी (मिस्सी रोटी) और भिंडी की सूखी सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और कुरकुरी भिंडी,heavy
चने और जो की रोटी (मिस्सी रोटी) और कच्चे केले की सब्ज़ी,heavy
चने और जो की रोटी (मिस्सी रोटी) और मूंग दाल,heavy
चने और जो की रोटी (मिस्सी रोटी) और मसूर दाल,heavy
चने और जो की रोटी (मिस्सी रोटी) और अरहर दाल,heavy
जौ के सत्तू की रोटी,light
पोहा,light
दाल की रोटी (मूंग दाल),light
"सूजी की इडली, सांबर, नारियल और मूंगफली की चटनी की साथ",light
आलू प्याज़ की रोटी,heavy
मूँग की दाल का चीला,light
"रागी डोसा, सांभर, नारियल और मूंगफली की चटनी की साथ",light
रागी चीला,light
"झंगोरा (Barnyard Millet) उपमा, नारियल और मूंगफली की चटनी की साथ",light
भुना हुआ मूँग तथा भुने हुए काला चना + नींबू + धनिया,heavy
"पेसरट्टु (मूँग आधारित dosa) (1 कप हरे मूँग को 4–5 घंटे भिगोकर अदरक, हरी मिर्च, हींग, नमक और थोड़ा पानी मिलाकर मिक्सी में पीसें। पिसे हुए घोल में जीरा मिलाएँ। तवे पर हल्का तेल लगाकर घोल को फैलाएँ और डोसे की तरह पतला फैलाएँ। चाहें तो ऊपर से बारीक कटे प्याज़ और धनिया डाल सकते हैं। ढककर मध्यम आँच पर एक तरफ से सेंकें, फिर पलटकर दूसरी ओर हल्का सेंक लें। नारियल या पुदीना की चटनी के साथ गरमागरम परोसें।)",light
"ज्वार की रोटी, लौकी की सब्ज़ी, मसूर दाल",light
"ज्वार की रोटी, लौकी की सब्ज़ी, अरहर दाल",light
"ज्वार की रोटी, लौकी के कोफ्ते (बिना तले), अरहर दाल",light
"ज्वार की रोटी, तोरई, मूँग दाल धुली",light
"ज्वार की रोटी, सहजन की फली, मसूर दाल",light
"ज्वार की रोटी, चौलाई, मूँग दाल धुली",light
"ज्वार की रोटी, कुंदरु, अरहर दाल",light
"ज्वार की रोटी, करेला, मूँग दाल धुली",light
"ज्वार की रोटी, पेठा की खट्टी मीठी सब्ज़ी, मसूर दाल",light
"ज्वार की रोटी, टमाटर की सब्ज़ी, अरहर दाल",light
"ज्वार की रोटी, लौकी की सब्ज़ी, सफ़ेद चना",heavy
"ज्वार की रोटी, लौकी की सब्ज़ी, काले चने",heavy
"ज्वार की रोटी, लौकी की सब्ज़ी, मसूर दाल, कद्दू लौकी का रायता",light
"ज्वार की रोटी, लौकी की सब्ज़ी, मसूर दाल, भिंडी लौकी का रायता",light
"पुराना गेहूं की रोटी, लौकी और चना दाल",light
"पुराना गेहूं की रोटी, दूधी भाजी, मसूर दाल",light
"पुराना गेहूं की रोटी, दूधी भाजी, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, तोरई, अरहर दाल",light
"पुराना गेहूं की रोटी, सहजन की फली, मूँग दाल साबुत",light
"पुराना गेहूं की रोटी, चौलाई, मसूर दाल",light
"पुराना गेहूं की रोटी, कुंदरु, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, करेला, अरहर दाल",light
"पुराना गेहूं की रोटी, पेठा की खट्टी मीठी सब्ज़ी, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, टमाटर की सब्ज़ी, मसूर दाल",light
"पुराना गेहूं की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"पुराना गेहूं की रोटी, लौकी के कोफ्ते (बिना तले), मूँग दाल धुली",light
"पुराना गेहूं की रोटी, लौकी की सब्ज़ी, सफ़ेद चना",heavy
"पुराना गेहूं की रोटी, लौकी की सब्ज़ी, काले चने",heavy
"पुराना गेहूं की रोटी, दूधी भाजी, मसूर दाल, कद्दू लौकी का रायता",light
"जौ की रोटी, लौकी की सब्ज़ी, मूँग दाल धुली",light
"जौ की रोटी, लौकी की सब्ज़ी, अरहर दाल",light
"जौ की रोटी, तोरई, मूँग दाल धुली",light
"जौ की रोटी, सहजन की फली, मसूर दाल",light
"जौ की रोटी, चौलाई, मूँग दाल धुली",light
"जौ की रोटी, कुंदरु, मसूर दाल",light
"जौ की रोटी, करेला, मूँग दाल साबुत",light
"जौ की रोटी, टमाटर की सब्ज़ी, अरहर दाल",light
"जौ की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"जौ की रोटी, पेठा की खट्टी मीठी सब्ज़ी, मसूर दाल",light
"जौ की रोटी, लौकी की सब्ज़ी, मूँग दाल धुली, कद्दू लौकी का रायता",light
"झंगोरा आटा की रोटी, दूधी भाजी, मूँग दाल धुली",light
"झंगोरा आटा की रोटी, लौकी की सब्ज़ी, मसूर दाल",light
"झंगोरा आटा की रोटी, तोरई, अरहर दाल",light
"झंगोरा आटा की रोटी, सहजन की फली, मूँग दाल साबुत",light
"झंगोरा आटा की रोटी, चौलाई, मसूर दाल",light
"झंगोरा आटा की रोटी, कुंदरु, मूँग दाल धुली",light
"झंगोरा आटा की रोटी, करेला, अरहर दाल",light
"झंगोरा आटा की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"शालि चावल, मसूर दाल, लौकी की सब्ज़ी",light
"शालि चावल, अरहर दाल, टमाटर की सब्ज़ी",light
"शालि चावल, मूँग दाल धुली, तोरई",light
"शालि चावल, साम्भर, लौकी की सब्ज़ी",light
"शालि चावल, साम्भर, चौलाई",light
"शालि चावल, सफ़ेद चना, दूधी भाजी",heavy
"शालि चावल, काले चने, लौकी की सब्ज़ी",heavy
"शालि चावल, मसूर दाल, लौकी की सब्ज़ी, कद्दू लौकी का रायता",light
"सामक चावल, मूँग दाल धुली, सहजन की फली",light
"सामक चावल, मसूर दाल, लौकी के कोफ्ते (बिना तले)",light
"सामक चावल, अरहर दाल, कुंदरु",light
"सामक चावल, साम्भर, टमाटर की सब्ज़ी",light
"कंगनी, मसूर दाल, चौलाई",light
"कंगनी, मूँग दाल धुली, तोरई",light
"कंगनी, अरहर दाल, लौकी की सब्ज़ी",light
"कंगनी, साम्भर, लौकी की सब्ज़ी",light
"रागी, मसूर दाल, सहजन की फली",light
"रागी, मूँग दाल धुली, कुंदरु",light
"रागी, अरहर दाल, टमाटर की सब्ज़ी",light
"रागी, साम्भर, चौलाई",light
मूंग दाल वाली पतली खिचड़ी,light
दही चावल ज्यादा करी पत्ता व सौंफ के साथ,light
सत्तू का लिट्टी और मूंग दाल,heavy
"मंगौड़े उबले हुए, धनिया पुदीना चटनी",light
पोहा और भुना हुआ मूँग तथा भुने हुए काला चना + नींबू + धनिया,heavy
बेसन का चिल्ला,light
Salty Dalia (नमकीन दलिया),light
Sweet Dalia (मीठा दलिया),heavy
नमक अजवाइन रोटी,light
"उपमा, नारियल की चटनी, मूंगफली की चटनी, सांभर",light
सूजी का हलवा और नामक आजवाइन वाली रोटी,heavy
"भिंडी की सब्ज़ी, गेहूँ की रोटी",light
उबले मंगोड़े की रस्सेदार सब्ज़ी और गेहूं रोटी,light
अरहर की दाल और गेहूं रोटी,light
"मूँग दाल की बड़ियाँ, जौ की रोटी",heavy
"परवल, गेहूँ की रोटी",light
"करेला, गेहूँ की रोटी",light
"मूँग की दाल, गेहूं रोटी",light
"मेथी दाने की सब्ज़ी, गेहूँ की रोटी",light
रागी मुद्दे (https://www.youtube.com/watch?v=epIQqNQvP2I) और साथ में धुली मूंग की दाल,light
तोरई और गेहूँ की रोटी,light
करोंदा और गेहूँ की रोटी,light
उबले मंगोड़े की रस्सेदार सब्ज़ी और गेहूं की रोटी,light
लेमन राइस,light
बीसी बेले भात (https://www.youtube.com/watch?v=v2A7o8xz85Q),heavy
परिप्पू करी (https://www.youtube.com/watch?v=jezvvnkrIFk),light
इमली चावल (https://www.youtube.com/watch?v=Ls1WdcBJ6Jg),light
मोरू कली (मोर कूझ) (https://www.youtube.com/watch?v=xWue2xhKIuY),heavy
मूँग दाल खिचड़ी,light
"मूँग की दाल, चावल",light
"लौकी चने की दाल, परमल चावल",light
उबले मंगोड़े की रस्सेदार सब्ज़ी और साथ में चावल,light
मूंग दाल खिलवां (अवधी दाल) और चावल,light
पायथम पेझुक्कु (मूंग दाल) और चावल,light
रोटी और आम अदा दिया भाजा मूँग दाल (Aam Ada Diya Bhaaja Moong Dal),light
रोटी और दाल की कलेजी (Dal ki Kaleji),light
चावल और मजीदा कढ़ी (Majjida Karhi),light
चावल (परमल) की इडली। साथ में नारियल की चटनी।,light
दाल की रोटी। पुदीने की चटनी अलग से दें।,light
मूँग की दाल का चीला। पुदीने की चटनी।,light
जौ के सत्तू की रोटी। पुदीने की चटनी।,light
पोहा - जलेबी। जलेबी बाज़ार से आएगी।,heavy
"उपमा। पुदीने की चटनी, नारियल की चटनी।",light
"उत्तपम और पुदीने की चटनी, नारियल की चटनी।",light
"आलू प्याज़ की रोटी। पुदीने की चटनी, नारियल की चटनी।",heavy
"बेसन की चीला। पुदीने की चटनी, नारियल की चटनी।",light
"डोसा (बीच में आलू की सब्जी रख के। पुदीने की चटनी, नारियल की चटनी)।",light
"खीर और नमक आजवाइन की रोटी। खीर में इलायची, बादाम, सौगी आदि नहीं डालना है।",heavy
मेथी की रोटी (अगर अच्छी मेथी मिल जाए),light
कढ़ी चावल,light
"मूँग की दाल, और साठी चावल",light
"परवल की सब्ज़ी, जवार की रोटी",light
छाछ की सब्ज़ी और साठी चावल,light
"मोठ की दाल, साठी चावल",light
"लौकी सब्ज़ी, जवार की रोटी",light
"मसूर दाल, साठी चावल",light
"करेला, जौं की रोटी, और मक्खन",light
"पेठा-कद्दू की सब्ज़ी (कद्दू नहीं, पेठा कद्दू), जवार की रोटी",light
"भिंडी, जौं की रोटी",light
"अरहर दाल, गेहूं की रोटी",light
"लौकी चने की दाल, जौं की रोटी",light
"ज़ीरा वाले चावल, पुदीना, लौकी वाला रायता, और कुरकुरी भिंडी",light
"तोरी, गेंहू की रोटी",light
आलू-परवल की सब्ज़ी और जवार की रोटी,light
"कद्दू(पेठा) और जवार की रोटी और पुदीना, लौकी वाला रायता",light
कच्चे केले की सब्ज़ी और गेंहू की रोटी,light
पालक का साग (पनीर नहीं डालना) और गेंहू की रोटी,light
"अरहर की दाल, और साठी चावल",light
मूंग चना दाल मिक्स और पालक मिला के दाल और जौं की रोटी,light
छिलके वाली मूंग की दाल और गेंहू की रोटी,light
पालक और भुट्टे की सब्ज़ी और साथ में जीरा चावल,light
"मूँग की दाल, परमल चावल, पुदीने की चटनी",light
"भिंडी, गेहूं की रोटी, पुदीने की चटनी",light
"मसूर की दाल, गेहूं की रोटी, पुदीने की चटनी",light
"सहजन की फली, साठी चावल, पुदीने की चटनी",light
"अरहर की दाल, परमल चावल, पुदीने की चटनी",light
"पालक - चौलाई साग, गेहूं की रोटी, पुदीने की चटनी",light
"उबले हुए मंगोड़े, पुदीने की चटनी",light
"नारियल की सब्जी और रोटी, पुदीने की चटनी",heavy
सूरन की सब्ज़ी और रोटी,heavy
रोटी और आम अदा दिया भाजा मूँग दाल,light
रोटी और दाल की कलेजी,light
चावल और मजीदा कढ़ी,light
इडली सांभर और नारियल की चटनी,light
छोले चावल,heavy
राजमा चावल,heavy
